Date          Time        Pos Samples   Neg Samples
2015.12.22    08:23:26             10            90
2015.12.22    08:24:52             10            90
2015.12.22    10:43:27             10            90
2015.12.22    10:47:00             10            90
2015.12.22    10:54:46             10            90
2015.12.22    11:00:07             10            90
2015.12.22    11:07:28             10            90
2015.12.22    11:11:34             10            90
2015.12.22    11:18:35             10            90
2015.12.22    18:06:24             10            90
2015.12.22    18:09:07             10            90
2015.12.22    18:16:15             10            90
2015.12.23    20:06:40             11            89
2015.12.23    20:08:22             11            89
2015.12.23    20:11:59             10            90
2015.12.23    20:14:55             11            89
2015.12.23    20:16:49             11            89
2015.12.23    20:18:36             11            89
2015.12.23    20:20:24             11            89
2015.12.23    20:22:08             11            89
2015.12.23    20:23:55             11            89
2015.12.23    20:25:43             16            84
2015.12.23    20:27:30             18            82
2015.12.23    20:29:17             16            84
2015.12.23    20:31:09             17            83
2015.12.23    20:33:03             17            83
2015.12.23    20:34:51             19            81
2015.12.23    20:36:36             19            81
2015.12.23    20:38:25             20            80
2015.12.23    20:40:08             19            81
2015.12.23    20:41:53             19            81
2015.12.23    20:43:40             19            81
2015.12.23    20:45:24             19            81
2015.12.23    20:47:11             19            81
2015.12.23    20:48:59             19            81
2015.12.23    20:50:48             18            82
2015.12.23    20:52:37             18            82
2015.12.23    20:54:25             18            82
2015.12.23    20:56:14             18            82
2015.12.23    20:57:59             18            82
2015.12.23    20:59:48             18            82
2015.12.23    21:45:12             18            82
2015.12.23    21:47:15             18            82
2015.12.23    21:49:16             18            82
2015.12.23    21:51:13             18            82
2015.12.23    21:53:07             18            82
2015.12.23    21:55:01             18            82
2015.12.23    21:56:56             18            82
2015.12.23    21:58:54             18            82
2015.12.23    22:00:50             18            82
2015.12.23    22:02:43             18            82
2015.12.23    22:04:35             18            82
2015.12.23    22:06:25             18            82
2015.12.23    22:08:18             18            82
2015.12.23    22:10:10             18            82
2015.12.23    22:12:02             18            82
2015.12.23    22:13:48             18            82
2015.12.23    22:15:34             18            82
2015.12.23    22:17:20             18            82
2015.12.23    22:19:08             18            82
2015.12.23    22:20:56             18            82
2015.12.23    23:54:06              8            92
2015.12.23    23:58:07             19            81
2015.12.24    00:01:02             19            81
2015.12.24    00:02:46             19            81
2015.12.24    00:02:55             19            81
2015.12.24    00:03:05             19            81
2015.12.24    00:03:14             19            81
2015.12.24    00:03:24             19            81
2015.12.24    00:14:05            202          1798
2015.12.24    00:14:33            202          1798
2015.12.24    00:15:01            201          1799
2015.12.24    00:15:30            201          1799
2015.12.24    00:15:57            202          1798
2015.12.24    00:19:32            297          1703
2015.12.24    00:20:19            335          1665
2015.12.24    00:21:06            355          1645
2015.12.24    00:21:52            380          1620
2015.12.24    00:22:39            383          1617
2015.12.24    00:29:57           2309          7691
